,Amenaza,Repeticiones,%_Aparicion_dataset
87,metal pieces,100,0.001625593341569673
88,unauthorised novel food ingredient agmatine sulphate,97,0.0015768255413225827
89,metal fragments,96,0.001560569607906886
90,unauthorised substance carbofuran,96,0.001560569607906886
91,salmonella enterica ser. typhimurium dt 104,96,0.001560569607906886
92,soya undeclared,94,0.0015280577410754926
93,egg undeclared,94,0.0015280577410754926
94,illegal import,93,0.001511801807659796
95,prohibited substance nitrofuran (metabolite) furaltadone (amoz),93,0.001511801807659796
96,fumonisins,92,0.001495545874244099
97,salmonella enterica ser. heidelberg,91,0.0014792899408284023
98,chlormequat,90,0.0014630340074127056
99,peanut undeclared,90,0.0014630340074127056
100,acetamiprid,90,0.0014630340074127056
101,traces of milk,89,0.001446778073997009
102,adulteration,89,0.001446778073997009
103,foodborne outbreak suspected,89,0.001446778073997009
104,ethephon,87,0.0014142662071656154
105,melamine,85,0.001381754340334222
106,unauthorised substance triazophos,84,0.0013654984069185253
107,suffocation risk as a result of the consumption,84,0.0013654984069185253
108,"absence of certified analytical report,absence of health certificate(s)",83,0.0013492424735028286
109,fragments of bones of land animals,82,0.001332986540087132
110,presence of ruminant dna,82,0.001332986540087132
111,damaged packaging,80,0.0013004746732557383
112,migration of melamine,78,0.001267962806424345
113,defective packaging,78,0.001267962806424345
114,"migration of chromium,migration of nickel",78,0.001267962806424345
115,living and dead mites,76,0.0012354509395929513
116,salmonella enterica ser. newport,75,0.0012191950061772546
117,unauthorised novel food ingredient cannabidiol (cbd),75,0.0012191950061772546
118,unauthorised substance monocrotophos,74,0.001202939072761558
119,"aflatoxins,ochratoxin a",73,0.0011866831393458612
120,bulging packaging,73,0.0011866831393458612
121,unauthorised substance dichlorvos,73,0.0011866831393458612
122,pyrrolizidine alkaloids,72,0.0011704272059301646
123,unauthorised substance leucomalachite green,72,0.0011704272059301646
124,"migration of formaldehyde,migration of melamine",71,0.0011541712725144679
125,unauthorised substance methamidophos,70,0.001137915339098771
126,deoxynivalenol (don),70,0.001137915339098771
127,unauthorised substance procymidone,69,0.0011216594056830743
128,campylobacter,69,0.0011216594056830743
129,vibrio cholerae,67,0.0010891475388516809
130,"dioxin-like polychlorobifenyls,dioxins",67,0.0010891475388516809
131,salmonella enterica ser. derby,67,0.0010891475388516809
132,unauthorised substance amitraz,66,0.0010728916054359842
133,infested with mites,66,0.0010728916054359842
134,too high content of ragweed (ambrosia spp.) seeds,65,0.0010566356720202875
135,polycyclic aromatic hydrocarbons,65,0.0010566356720202875
136,ivermectin unauthorised,60,0.0009753560049418037
137,unauthorised substance sibutramine,59,0.000959100071526107
138,e 210 - benzoic acid unauthorised,59,0.000959100071526107
139,high count of enterobacteriaceae,59,0.000959100071526107
140,salmonella enterica ser. livingstone,58,0.0009428441381104103
141,too high content of colour e 110 - sunset yellow fcf,58,0.0009428441381104103
142,unauthorised use of colour e 160b - annato/bixin/norbixin,57,0.0009265882046947135
143,unauthorised colour rhodamine b,56,0.0009103322712790169
144,unauthorised substance omethoate,56,0.0009103322712790169
145,unauthorised substance sildenafil,56,0.0009103322712790169
146,too high count of aerobic mesophiles,56,0.0009103322712790169
147,unauthorised substance anthraquinone,55,0.0008940763378633202
148,prochloraz,55,0.0008940763378633202
149,abnormal smell,55,0.0008940763378633202
150,salmonella enterica ser. anatum,55,0.0008940763378633202
151,"unauthorised substance 1,3-dimethylamylamine (dmaa)",55,0.0008940763378633202
152,deterioration of organoleptic characteristics,54,0.0008778204044476234
153,unauthorised use of colour e 102 - tartrazine,54,0.0008778204044476234
154,presence of bacterial inhibitor,54,0.0008778204044476234
155,unfit for human consumption,54,0.0008778204044476234
156,mustard undeclared,54,0.0008778204044476234
157,malathion,53,0.0008615644710319267
158,salmonella enterica ser. saintpaul,53,0.0008615644710319267
159,dead insects,53,0.0008615644710319267
160,salmonella enterica ser. montevideo,52,0.0008453085376162299
161,too high content of erucic acid,52,0.0008453085376162299
162,residue level above mrl for oxytetracycline,52,0.0008453085376162299
163,too high content of e 200 - sorbic acid,51,0.0008290526042005332
164,salmonella enterica ser. typhimurium monophasic,51,0.0008290526042005332
165,paralytic shellfish poisoning (psp) toxins,50,0.0008127966707848365
166,high content of cyanide,50,0.0008127966707848365
167,unauthorised substance yohimbine,50,0.0008127966707848365
168,campylobacter jejuni,49,0.0007965407373691397
169,unauthorised use of colour e 110 - sunset yellow fcf,48,0.000780284803953443
170,unauthorised use of colour e 171 - titanium dioxide,48,0.000780284803953443
171,unauthorised substance clopidol,47,0.0007640288705377463
172,migration of epoxidised soybean oil (esbo),46,0.0007477729371220495
173,foodborne outbreak,46,0.0007477729371220495
174,hepatitis a virus,45,0.0007315170037063528
175,migration of manganese,45,0.0007315170037063528
176,"cadmium,mercury",44,0.0007152610702906561
177,too high content of nitrate,44,0.0007152610702906561
178,"migration of chromium,migration of manganese,migration of nickel",44,0.0007152610702906561
179,inadequate thermal processing,44,0.0007152610702906561
180,salmonella enterica ser. lexington,44,0.0007152610702906561
181,wheat undeclared,44,0.0007152610702906561
182,unauthorised substance acephate,44,0.0007152610702906561
183,metal wires,43,0.0006990051368749593
184,unauthorised substance propargite,43,0.0006990051368749593
185,unauthorised substance profenofos,43,0.0006990051368749593
186,taste disturbance,42,0.0006827492034592626
187,tin,42,0.0006827492034592626
188,tetrahydrocannabinol (thc),42,0.0006827492034592626
189,imazalil,42,0.0006827492034592626
190,"salmonella,too high count of enterobacteriaceae",42,0.0006827492034592626
191,unauthorised substance dithiocarbamates,42,0.0006827492034592626
192,salmonella enterica ser. dublin,41,0.000666493270043566
193,"migration of chromium,migration of manganese",41,0.000666493270043566
194,bse tests not conducted,41,0.000666493270043566
195,unauthorised substance malachite green,40,0.0006502373366278691
196,unauthorised novel food ingredient hoodia gordonii,39,0.0006339814032121725
197,salmonella enterica ser. kentucky,39,0.0006339814032121725
198,diarrhoeic shellfish poisoning (dsp) toxins - okadaic acid,39,0.0006339814032121725
199,migration of dehp - di(2-ethylhexyl) phthalate,39,0.0006339814032121725
200,incorrect expiry date,38,0.0006177254697964757
201,salmonella enterica ser. rissen,38,0.0006177254697964757
202,traces of peanut,38,0.0006177254697964757
203,fosthiazate,38,0.0006177254697964757
204,too high content of colour e 124 - ponceau 4r / cochineal red a,37,0.000601469536380779
205,absence of labelling,37,0.000601469536380779
206,"atropine,scopolamine",37,0.000601469536380779
207,celery undeclared,37,0.000601469536380779
208,"unauthorised substance acephate,unauthorised substance methamidophos",37,0.000601469536380779
209,unauthorised substance chlorpyrifos-methyl,36,0.0005852136029650823
210,too high content of e 452 - polyphosphates,36,0.0005852136029650823
211,poor state of preservation,36,0.0005852136029650823
212,"migration of 4,4'-diaminodiphenylmethane",36,0.0005852136029650823
213,mineral oil,36,0.0005852136029650823
214,"irradiation in an unauthorised facility,unlabelled irradiation",36,0.0005852136029650823
215,escherichia coli,35,0.0005689576695493855
216,too high content of gluten,35,0.0005689576695493855
217,high content of acrylamide,35,0.0005689576695493855
218,tetradifon,34,0.0005527017361336888
219,salmonella enterica ser. weltevreden,33,0.0005364458027179921
220,"infested with insects,infested with moulds",33,0.0005364458027179921
221,unauthorised substance carbaryl,33,0.0005364458027179921
222,missing import declaration,33,0.0005364458027179921
223,parasitic infestation with nematodes,33,0.0005364458027179921
224,poor traceability records,33,0.0005364458027179921
225,unauthorised substance tadalafil,33,0.0005364458027179921
226,absence of certified analytical report,33,0.0005364458027179921
227,irradiation in an unauthorised facility,33,0.0005364458027179921
228,"e 407 - carrageenan unauthorised,suffocation risk as a result of the consumption",33,0.0005364458027179921
229,too high intake of monacolin k,32,0.0005201898693022953
230,live insects,32,0.0005201898693022953
231,streptomycin unauthorised,32,0.0005201898693022953
232,unauthorised use of colour e 124 - ponceau 4r / cochineal red a,32,0.0005201898693022953
233,"arsenic,lead",32,0.0005201898693022953
234,"unauthorised substance leucomalachite green,unauthorised substance malachite green",32,0.0005201898693022953
235,glass particles,31,0.0005039339358865986
236,"unauthorised colour para red,unauthorised colour sudan 1",31,0.0005039339358865986
237,unauthorised substance ethion,31,0.0005039339358865986
238,vibrio cholerae non o:1/non o:139,30,0.00048767800247090186
239,"sulphite undeclared,too high content of sulphite",30,0.00048767800247090186
240,unauthorised novel food ingredient stevia rebaudiana,30,0.00048767800247090186
241,"unauthorised irradiation,unlabelled irradiation",30,0.00048767800247090186
242,salmonella enterica ser. havana,29,0.00047142206905520517
243,microbial contamination,29,0.00047142206905520517
244,migration of cadmium,29,0.00047142206905520517
245,unauthorised substance isofenphos-methyl,29,0.00047142206905520517
246,sulphite unauthorised,29,0.00047142206905520517
247,unauthorised substance sildenafil thiono analogue,29,0.00047142206905520517
248,high content of dehp - di(2-ethylhexyl) phthalate,28,0.0004551661356395084
249,too high content of cyanide,28,0.0004551661356395084
250,unauthorised use of colour e 123 - amaranth,28,0.0004551661356395084
251,pseudomonas aeruginosa,28,0.0004551661356395084
252,migration of colour,28,0.0004551661356395084
253,unauthorised substance chlorpyrifos,28,0.0004551661356395084
254,clofentezine,28,0.0004551661356395084
255,residue level above mrl for doxycycline,28,0.0004551661356395084
256,e 452 - polyphosphates unauthorised,28,0.0004551661356395084
257,unauthorised substance methidathion,27,0.0004389102022238117
258,hazelnut undeclared,27,0.0004389102022238117
259,pesticide residues,27,0.0004389102022238117
260,glycidyl esters,27,0.0004389102022238117
261,too high count of mesophiles,27,0.0004389102022238117
262,unauthorised substance endosulfan,27,0.0004389102022238117
263,high content of vitamin b6,26,0.00042265426880811494
264,unauthorised substance tricyclazole,26,0.00042265426880811494
265,"too high content of e 200 - sorbic acid,too high content of e 210 - benzoic acid",26,0.00042265426880811494
266,"infested with moulds,spoilage",26,0.00042265426880811494
267,unauthorised import,26,0.00042265426880811494
268,unauthorised novel food ingredient epimedium grandiflorum,26,0.00042265426880811494
269,patulin,26,0.00042265426880811494
270,salmonella enterica ser. hadar,26,0.00042265426880811494
271,"listeria monocytogenes,salmonella",26,0.00042265426880811494
272,botulinum toxin,26,0.00042265426880811494
273,traces of lactoprotein,26,0.00042265426880811494
274,"tetrahydrocannabinol (thc),unauthorised novel food ingredient cannabidiol (cbd)",26,0.00042265426880811494
275,"unauthorised substance sildenafil,unauthorised substance tadalafil",26,0.00042265426880811494
276,salmonella enterica subsp. salamae (ii),26,0.00042265426880811494
277,bacterial contamination,25,0.00040639833539241825
278,migration of volatile organic constituents,25,0.00040639833539241825
279,salmonella enterica ser. indiana,25,0.00040639833539241825
280,"too high count of enterobacteriaceae,too high count of aerobic mesophiles",25,0.00040639833539241825
281,dead mouse,25,0.00040639833539241825
282,salmonella enterica ser. minnesota,25,0.00040639833539241825
283,cronobacter sakazakii,25,0.00040639833539241825
284,salmonella enterica ser. bredeney,25,0.00040639833539241825
285,inner coating peeling off,24,0.0003901424019767215
286,"prohibited substance nitrofuran (metabolite) furazolidone (aoz),prohibited substance nitrofuran (metabolite) nitrofurazone (sem)",24,0.0003901424019767215
287,unauthorised substance synephrine,24,0.0003901424019767215
288,fenitrothion,24,0.0003901424019767215
289,prohibited substance nitrofuran (metabolite),24,0.0003901424019767215
290,benzalkonium chloride (bac),24,0.0003901424019767215
291,unauthorised use of colour e 122 - azorubine,24,0.0003901424019767215
292,lambda-cyhalothrin,24,0.0003901424019767215
293,amnesic shellfish poisoning (asp) toxins,23,0.00037388646856102476
294,suspicion of salmonella,23,0.00037388646856102476
295,suspicion of adulteration,23,0.00037388646856102476
296,tebuconazole,23,0.00037388646856102476
297,cypermethrin,23,0.00037388646856102476
298,"migration of formaldehyde,too high level of overall migration",23,0.00037388646856102476
299,sharp fragments,23,0.00037388646856102476
300,salmonella enterica ser. oranienburg,23,0.00037388646856102476
301,unsuitable transport conditions,23,0.00037388646856102476
302,salmonella enterica ser. paratyphi b,22,0.00035763053514532806
303,high content of morphine,22,0.00035763053514532806
304,too high content of e 1520 - propylene glycol,22,0.00035763053514532806
305,unauthorised substance permethrin,22,0.00035763053514532806
306,risk of breakage,22,0.00035763053514532806
307,migration of dinp - di-isononyl phthalate,22,0.00035763053514532806
308,too high content of trans fatty acids,22,0.00035763053514532806
309,sulfathiazole unauthorised,22,0.00035763053514532806
310,salmonella enterica ser. virchow,22,0.00035763053514532806
311,non-dioxin-like polychlorobifenyls,22,0.00035763053514532806
312,almond undeclared,22,0.00035763053514532806
313,unauthorised ingredient,22,0.00035763053514532806
314,enterotoxin producing bacillus cereus,22,0.00035763053514532806
315,unauthorised substance phenylbutazone,21,0.0003413746017296313
316,traces of egg,21,0.0003413746017296313
317,unauthorised colour para red,21,0.0003413746017296313
318,"altered organoleptic characteristics,infested with moulds",21,0.0003413746017296313
319,unfit for use as food contact material,20,0.0003251186683139346
320,"foodborne outbreak,histamine",20,0.0003251186683139346
321,tylosin unauthorised,20,0.0003251186683139346
322,flonicamid,20,0.0003251186683139346
323,specified risk material (srm),20,0.0003251186683139346
324,unauthorised plant parts,20,0.0003251186683139346
325,high aerobic plate count,20,0.0003251186683139346
326,salmonella enterica ser. thompson,20,0.0003251186683139346
327,too high content of coumarin,20,0.0003251186683139346
328,"salmonella,high count of enterobacteriaceae",20,0.0003251186683139346
329,expired health certificate(s),20,0.0003251186683139346
330,salmonella enterica ser. hvittingfoss,20,0.0003251186683139346
331,unauthorised novel food ingredient acacia rigidula,20,0.0003251186683139346
332,sesame undeclared,20,0.0003251186683139346
333,missing identification code on individual packaging,20,0.0003251186683139346
334,diazinon,20,0.0003251186683139346
335,campylobacter spp.,20,0.0003251186683139346
336,unauthorised substance tolfenpyrad,20,0.0003251186683139346
337, ,19,0.00030886273489823783
338,"salmonella enterica ser. enteritidis,salmonella enterica ser. infantis",19,0.00030886273489823783
339,thawed,19,0.00030886273489823783
340,glyphosate,19,0.00030886273489823783
341,unauthorised substance fenvalerate,19,0.00030886273489823783
342,"foodborne outbreak,norovirus",19,0.00030886273489823783
343,absence of health mark,19,0.00030886273489823783
344,unauthorised substance dinotefuran,19,0.00030886273489823783
345,"migration of manganese,migration of nickel",19,0.00030886273489823783
346,fenvalerate,19,0.00030886273489823783
347,salmonella enterica ser. cubana,19,0.00030886273489823783
348,illegal trade,19,0.00030886273489823783
349,"migration of chromium,migration of manganese,too high level of overall migration",19,0.00030886273489823783
350,"migration of chromium,too high level of overall migration",19,0.00030886273489823783
351,pirimiphos-methyl,19,0.00030886273489823783
352,enteropathogenic escherichia coli,19,0.00030886273489823783
353,parasitic infestation with anisakis simplex,19,0.00030886273489823783
354,corrosion,19,0.00030886273489823783
355,unauthorised substance chlorate,19,0.00030886273489823783
356,prohibited substance ddt,19,0.00030886273489823783
357,metal particles,19,0.00030886273489823783
358,unauthorised feed additive cannabidiol (cbd),19,0.00030886273489823783
359,unauthorised substance dicofol,18,0.00029260680148254114
360,salmonella enterica ser. give,18,0.00029260680148254114
361,methiocarb,18,0.00029260680148254114
362,fraud - expiry dates changed,18,0.00029260680148254114
363,unauthorised substance diafenthiuron,18,0.00029260680148254114
364,salmonella enterica ser. kottbus,18,0.00029260680148254114
365,unauthorised substance morpholine,18,0.00029260680148254114
366,salmonella group b,18,0.00029260680148254114
367,nuts undeclared,18,0.00029260680148254114
368,salmonella group c,18,0.00029260680148254114
369,staphylococcal enterotoxin,18,0.00029260680148254114
370,unauthorised transit,18,0.00029260680148254114
371,unauthorised substance nitrofen,17,0.0002763508680668444
372,high content of lead,17,0.0002763508680668444
373,improper packaging,17,0.0002763508680668444
374,animal protein,17,0.0002763508680668444
375,aerobic plate count too high,17,0.0002763508680668444
376,traces of almond,17,0.0002763508680668444
377,lactose undeclared,17,0.0002763508680668444
378,magnesium aspartate unauthorised,17,0.0002763508680668444
379,high content of vitamin d,17,0.0002763508680668444
380,clostridium sulphite reducer,17,0.0002763508680668444
381,rodent,17,0.0002763508680668444
382,migration of aluminium,17,0.0002763508680668444
383,unauthorised substance iprodione,17,0.0002763508680668444
384,unauthorised substance nicotine,17,0.0002763508680668444
385,unsuitable means of transport for bulk,17,0.0002763508680668444
386,bone fragments,17,0.0002763508680668444
387,e 250 - sodium nitrite unauthorised,17,0.0002763508680668444
388,plastic particles,17,0.0002763508680668444
389,salmonella enterica ser. stanley,17,0.0002763508680668444
390,polychlorobifenyls,17,0.0002763508680668444
391,salmonella enterica ser. münster,16,0.00026009493465114765
392,"unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 110 - sunset yellow fcf",16,0.00026009493465114765
393,parathion-methyl,16,0.00026009493465114765
394,e 425 - konjac unauthorised,16,0.00026009493465114765
395,unauthorised substance chlorfenapyr,16,0.00026009493465114765
396,"cadmium,lead",16,0.00026009493465114765
397,amnesic shellfish poisoning (asp) toxins - domoic acid,16,0.00026009493465114765
398,"too high count of escherichia coli,too high count of faecal coliforms",16,0.00026009493465114765
399,traces of soya,16,0.00026009493465114765
400,fenamiphos,16,0.00026009493465114765
401,clostridium perfringens,16,0.00026009493465114765
402,salmonella enterica ser. ohio,16,0.00026009493465114765
403,unauthorised substance epn,16,0.00026009493465114765
404,"campylobacter coli,campylobacter jejuni",16,0.00026009493465114765
405,"salmonella,too high count of escherichia coli",16,0.00026009493465114765
406,unauthorised novel food ingredient tongkat ali (eurycoma longifolia),15,0.00024383900123545093
407,oxytetracycline unauthorised,15,0.00024383900123545093
408,rodent excrements,15,0.00024383900123545093
409,high content of volatile organic constituents,15,0.00024383900123545093
410,e 385 - calcium disodium ethylene diamine tetra acetate (cdedta) unauthorised,15,0.00024383900123545093
411,e 407 - carrageenan unauthorised,15,0.00024383900123545093
412,ergot (claviceps purpurea),15,0.00024383900123545093
413,benzethonium chloride,15,0.00024383900123545093
414,"salmonella,high count of escherichia coli",15,0.00024383900123545093
415,food poisoning suspected,15,0.00024383900123545093
416,unlabelled irradiation,15,0.00024383900123545093
417,azaspiracid shellfish poisoning (azp) toxins,15,0.00024383900123545093
418,escherichia coli o157,15,0.00024383900123545093
419,residue level above mrl for sulfadimethoxine,15,0.00024383900123545093
420,too high content of free gossypol,15,0.00024383900123545093
421,salmonella group d,15,0.00024383900123545093
422,infested with yeasts,15,0.00024383900123545093
423,unauthorised food additive sodium chlorite,15,0.00024383900123545093
424,clostridium botulinum,14,0.0002275830678197542
425,too high content of sweetener e 952 - cyclamate,14,0.0002275830678197542
426,lactoprotein undeclared,14,0.0002275830678197542
427,"vibrio cholerae non o:1/non o:139,vibrio parahaemolyticus",14,0.0002275830678197542
428,zearalenone,14,0.0002275830678197542
429,salmonella enterica ser. typhimurium dt 104 - multiresistant,14,0.0002275830678197542
430,pieces of wood,14,0.0002275830678197542
431,residues of nicarbazin,14,0.0002275830678197542
432,salmonella enterica ser. schwarzengrund,14,0.0002275830678197542
433,"vibrio cholerae,vibrio parahaemolyticus",14,0.0002275830678197542
434,vibrio cholerae non o:1,14,0.0002275830678197542
435,pyridaben,13,0.00021132713440405747
436,high content of e 300 - ascorbic acid,13,0.00021132713440405747
437,residue level above mrl for sulfadiazine,13,0.00021132713440405747
438,absence of expiry date,13,0.00021132713440405747
439,stones,13,0.00021132713440405747
440,salmonella enterica ser. bareilly,13,0.00021132713440405747
441,too high intake of zinc,13,0.00021132713440405747
442,presence of soya,13,0.00021132713440405747
443,high content of zinc,13,0.00021132713440405747
444,salmonella enterica ser. orion,13,0.00021132713440405747
445,toxic herbal extracts,13,0.00021132713440405747
446,fish undeclared,13,0.00021132713440405747
447,too high content of total volatile basic nitrogen,13,0.00021132713440405747
448,"absence of certified analytical report,absence of common health entry document (ched),absence of health certificate(s)",13,0.00021132713440405747
449,unauthorised substance biphenyl,13,0.00021132713440405747
450,monensin unauthorised,13,0.00021132713440405747
451,coagulase-positive staphylococcus,13,0.00021132713440405747
452,salmonella group c1,13,0.00021132713440405747
453,risk of overdosage with nicotinic acid,13,0.00021132713440405747
454,sulfadimidine unauthorised,13,0.00021132713440405747
455,esfenvalerate,13,0.00021132713440405747
456,lasalocid unauthorised,13,0.00021132713440405747
457,unauthorised use of colour e 129 - allura red ac,13,0.00021132713440405747
458,"salmonella enterica ser. mbandaka,salmonella enterica ser. senftenberg",13,0.00021132713440405747
459,benzene,13,0.00021132713440405747
460,salmonella enterica ser. napoli,12,0.00019507120098836075
461,"dead insects,excrements of insects",12,0.00019507120098836075
462,salinomycin unauthorised,12,0.00019507120098836075
463,faecal streptococci,12,0.00019507120098836075
464,chlorpyrifos-methyl,12,0.00019507120098836075
465,escherichia coli o157:h7,12,0.00019507120098836075
466,e 200 - sorbic acid unauthorised,12,0.00019507120098836075
467,too high intake of vitamin b6,12,0.00019507120098836075
468,salmonella enterica ser. blockley,12,0.00019507120098836075
469,risk of explosion,12,0.00019507120098836075
470,unauthorised substance fenpropathrin,12,0.00019507120098836075
471,bromide,12,0.00019507120098836075
472,high level of acidity,12,0.00019507120098836075
473,high content of caffeine,12,0.00019507120098836075
474,unauthorised novel food ingredient betaine,12,0.00019507120098836075
475,"altered organoleptic characteristics,infested with insects",12,0.00019507120098836075
476,suspicion of fraudulent health certificate(s),12,0.00019507120098836075
477,chlorate,12,0.00019507120098836075
478,monoethylene glycol (meg),12,0.00019507120098836075
479,staphylococcus,12,0.00019507120098836075
480,absence of common health entry document (ched),12,0.00019507120098836075
481,too high count of coliforms,12,0.00019507120098836075
482,,12,0.00019507120098836075
483,migration of benzophenone,12,0.00019507120098836075
484,listeria,12,0.00019507120098836075
485,verotoxin producing escherichia coli,12,0.00019507120098836075
486,improper production,12,0.00019507120098836075
487,salmonella enterica ser. amsterdam,12,0.00019507120098836075
488,"migration of manganese,too high level of overall migration",11,0.00017881526757266403
489,"attempt to illegally import,unauthorised operator",11,0.00017881526757266403
490,buprofezin,11,0.00017881526757266403
491,salmonella enterica ser. kedougou,11,0.00017881526757266403
492,histologic lesions due to freezing,11,0.00017881526757266403
493,"unauthorised substance phenolphthalein,unauthorised substance sibutramine",11,0.00017881526757266403
494,cashew nut undeclared,11,0.00017881526757266403
495,unauthorised substance trifluralin,11,0.00017881526757266403
496,best before date exceeded,11,0.00017881526757266403
497,"foodborne outbreak suspected,norovirus",11,0.00017881526757266403
498,fraud,11,0.00017881526757266403
499,narasin unauthorised,11,0.00017881526757266403
500,"too high count of escherichia coli,too high count of coliforms",11,0.00017881526757266403
501,traces of gluten,11,0.00017881526757266403
502,unauthorised substance phenolphthalein,11,0.00017881526757266403
503,"unauthorised substance acephate,unauthorised substance monocrotophos",11,0.00017881526757266403
504,salmonella enterica ser. jerusalem,11,0.00017881526757266403
505,thiabendazole,11,0.00017881526757266403
506,deterioration,11,0.00017881526757266403
507,unfit for animal nutrition,11,0.00017881526757266403
508,breakage,11,0.00017881526757266403
509,unauthorised colour orange ii,11,0.00017881526757266403
510,"migration of chromium,migration of nickel,too high level of overall migration",11,0.00017881526757266403
511,salmonella enterica ser. chester,11,0.00017881526757266403
512,presence of gluten,11,0.00017881526757266403
513,"celery undeclared,mustard undeclared",11,0.00017881526757266403
514,azinphos-methyl,11,0.00017881526757266403
515,"gold unauthorised,silver unauthorised",11,0.00017881526757266403
516,too high content of e 211 - sodium benzoate,11,0.00017881526757266403
517,too high content of vitamin d3,11,0.00017881526757266403
518,prohibited substance metronidazole,11,0.00017881526757266403
519,"milk ingredient undeclared,soya undeclared",11,0.00017881526757266403
520,unauthorised novel food ingredient epimedium,11,0.00017881526757266403
521,staphylococcus aureus,11,0.00017881526757266403
522,unauthorised substance flusilazole,11,0.00017881526757266403
523,deltamethrin,11,0.00017881526757266403
524,sulfonamide unauthorised,11,0.00017881526757266403
